detection_class_entities,detection_scores,detection_boxes
b'House',0.8978849,"[0.9227758646011353, 0.6806906461715698]"
b'House',0.8371412,"[0.31453877687454224, 0.6956505477428436]"
b'House',0.8189821,"[0.5788055062294006, 0.621443122625351]"
b'House',0.7225058,"[0.8034965991973877, 0.6075653731822968]"
b'Tree',0.67874503,"[0.8751996755599976, 0.006403088569641113]"
b'Tree',0.6779676,"[0.607780933380127, 0.0041779279708862305]"
b'Tree',0.60651785,"[0.08936427533626556, 0.005098879337310791]"
b'House',0.60634565,"[0.5400846004486084, 0.7916330099105835]"
b'Tree',0.5388915,"[0.04224643483757973, 0.7151646614074707]"
b'Tree',0.5183819,"[0.6162204742431641, 0.7913278341293335]"
b'Tree',0.50684536,"[0.44148164987564087, 0.004419207572937012]"
b'Tree',0.49014533,"[0.6481947898864746, 0.5788791179656982]"
b'House',0.46459144,"[0.07663275301456451, 0.7585079967975616]"
b'Tree',0.43652365,"[0.6997880339622498, 0.7768758833408356]"
b'Window',0.32313538,"[0.9583925008773804, 0.6972405314445496]"
b'Tree',0.28371686,"[0.8039751052856445, 0.7589514553546906]"
b'Plant',0.1954319,"[0.07155741751194, 0.6331574022769928]"
b'Tree',0.17866224,"[0.8189020156860352, 0.23580843210220337]"
b'Tree',0.17292134,"[0.06616292148828506, 0.8371074497699738]"
b'Tree',0.15643059,"[0.9682067632675171, 0.8163221180438995]"
b'Tree',0.14643276,"[0.1304406225681305, 0.7245932221412659]"
b'Tree',0.14588062,"[0.9369971752166748, 0.8211230486631393]"
b'Plant',0.13304996,"[0.6085229516029358, 0.0029441118240356445]"
b'Tree',0.12737305,"[0.9657387137413025, 0.8653010576963425]"
b'Tree',0.121416315,"[0.9118005037307739, 0.8299691677093506]"
b'Tree',0.112800606,"[0.40458258986473083, 0.7770730555057526]"
b'Plant',0.10903624,"[0.6489874720573425, 0.578029990196228]"
b'Tree',0.103021055,"[0.7552069425582886, 0.8936260715126991]"
b'House',0.101998955,"[0.4705924987792969, 0.6650080680847168]"
b'Tree',0.098200396,"[0.7072917222976685, 0.4932377338409424]"
b'Tree',0.08983311,"[0.22612884640693665, 0.7937195599079132]"
b'Plant',0.08779738,"[0.09013723582029343, 0.007406413555145264]"
b'Tree',0.08717975,"[0.720721423625946, 0.8946244120597839]"
b'Tree',0.07110609,"[0.3532327115535736, 0.40713757276535034]"
b'Tree',0.07024517,"[0.7791689038276672, 0.881411537528038]"
b'Tree',0.06573952,"[0.26931530237197876, 0.8125994354486465]"
b'Tree',0.055365227,"[0.04450640454888344, 0.8550074249505997]"
b'Plant',0.055016015,"[0.7676453590393066, 0.5607790648937225]"
b'Tree',0.05466601,"[0.056730229407548904, 0.7332822382450104]"
b'Tree',0.05380594,"[0.13368180394172668, 0.8334178626537323]"
b'Plant',0.052477732,"[0.4386292099952698, 0.009491324424743652]"
b'Tree',0.05243179,"[0.7390153408050537, 0.888703890144825]"
b'Tree',0.049770366,"[0.6977390050888062, 0.8996719047427177]"
b'Tree',0.049512997,"[0.7793410420417786, 0.8873011767864227]"
b'Tree',0.04812533,"[0.8403246402740479, 0.8810738325119019]"
b'Tree',0.047856625,"[0.07136819511651993, 0.633444219827652]"
b'Tree',0.044307355,"[0.36335253715515137, 0.7912964820861816]"
b'Tree',0.04154732,"[0.1501457542181015, 0.8498247414827347]"
b'Plant',0.039756358,"[0.822269082069397, 0.23226416110992432]"
b'Tree',0.037365183,"[0.7784742116928101, 0.013257324695587158]"
b'Tree',0.037108466,"[0.5247300863265991, 0.8422902077436447]"
b'Building',0.03514616,"[0.0741744190454483, 0.7563058137893677]"
b'Tree',0.03472151,"[0.8034051656723022, 0.8838692978024483]"
b'Tree',0.033974644,"[0.3737857937812805, 0.9138057455420494]"
b'Building',0.033452407,"[0.540867805480957, 0.7932579666376114]"
b'Tree',0.033089105,"[0.9226192235946655, 0.8221812397241592]"
b'Tree',0.03195985,"[0.06267071515321732, 0.7232604026794434]"
b'Tree',0.03075502,"[0.3393213152885437, 0.810253694653511]"
b'Tree',0.029463932,"[0.7560521364212036, 0.8953436985611916]"
b'Tree',0.029031217,"[0.19127152860164642, 0.7208478152751923]"
b'Tree',0.027965926,"[0.11465603113174438, 0.8389624953269958]"
b'Person',0.02692841,"[0.23642918467521667, 0.16721206903457642]"
b'Plant',0.026290946,"[0.8782755136489868, 0.015123486518859863]"
b'Tree',0.025357047,"[0.7679852843284607, 0.5604061186313629]"
b'Tree',0.024284953,"[0.6255674362182617, 0.7877683490514755]"
b'Plant',0.023749173,"[0.35381507873535156, 0.40806061029434204]"
b'Building',0.023145948,"[0.5787519216537476, 0.6310566067695618]"
b'House',0.022512788,"[0.5188214778900146, 0.7955965399742126]"
b'Mammal',0.021466643,"[0.23711895942687988, 0.17026984691619873]"
b'Window',0.0211919,"[0.9586178064346313, 0.6899571120738983]"
b'Tree',0.020390136,"[0.4786979854106903, 0.9246820211410522]"
b'Tree',0.019879507,"[0.2867841124534607, 0.8426463752985001]"
b'Plant',0.016677044,"[0.6493262052536011, 0.5690860450267792]"
b'Building',0.016295444,"[0.9238336086273193, 0.6892168521881104]"
b'Tree',0.015825283,"[0.519054651260376, 0.9246934354305267]"
b'Tree',0.01532969,"[0.6798739433288574, 0.8952359557151794]"
b'Tree',0.0145735685,"[0.6230837106704712, 0.7863578796386719]"
b'Tree',0.013777482,"[0.5761384963989258, 0.4832124710083008]"
b'Tree',0.013342356,"[0.7343543171882629, 0.8948143050074577]"
b'Building',0.0130512575,"[0.8034675121307373, 0.6099644303321838]"
b'Plant',0.012746407,"[0.7066468596458435, 0.5309372842311859]"
b'House',0.011511512,"[0.6490761637687683, 0.5963914096355438]"
b'Plant',0.01012212,"[0.5772135257720947, 0.4841476082801819]"
b'Tree',0.009745972,"[0.43959367275238037, 0.917734257876873]"
b'Tree',0.009735612,"[0.6040803790092468, 0.5427950024604797]"
b'Tree',0.009628306,"[0.4191237688064575, 0.9150020554661751]"
b'Tree',0.009497568,"[0.10178980231285095, 0.864743173122406]"
b'Plant',0.009454679,"[0.1302434653043747, 0.7224753499031067]"
b'Tree',0.00895667,"[0.6923301219940186, 0.8961667120456696]"
b'Tree',0.008715858,"[0.8276512026786804, 0.8879468515515327]"
b'Tree',0.008698025,"[0.7207944989204407, 0.8958396762609482]"
b'Tree',0.008658172,"[0.3975779414176941, 0.9136245399713516]"
b'Plant',0.008364448,"[0.8310550451278687, 0.0021549463272094727]"
b'Tree',0.00808255,"[0.6544225811958313, 0.9601772874593735]"
b'Plant',0.0078033376,"[0.7732577323913574, 0.0]"
b'Plant',0.007477114,"[0.6985323429107666, 0.7784234881401062]"
b'Tree',0.0069499086,"[0.3718586266040802, 0.9106470942497253]"
b'Building',0.006553085,"[0.3132103681564331, 0.698513925075531]"
b'House',0.0065110982,"[0.045809533447027206, 0.7296636402606964]"
b'Plant',0.006508232,"[0.03673080727458, 0.7114940881729126]"
